,diversions
2018-09-01,66886.0
2018-10-01,94325.0
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,45730.0
2019-05-01,263839.0
2019-06-01,297689.0
2019-07-01,351273.0
2019-08-01,280391.0
2019-09-01,67046.0
2019-10-01,77257.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,146509.0
2020-05-01,281986.0
2020-06-01,323405.0
2020-07-01,336367.0
2020-08-01,231708.0
2020-09-01,74439.0
2020-10-01,100247.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,140129.0
2021-05-01,256464.0
2021-06-01,244731.0
2021-07-01,248474.0
2021-08-01,150943.0
2021-09-01,47172.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
